,D001,D002,D004,M001,M002,M003,M004,M005,M006,M007,M008,M009,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031
M008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36985137763949727,0.3068769998933141,0.4761521150539155,0.31356953658313946,0.3869491803916228,0.47305413578106154,0.23482775173581036,0.20153639246127522,0.22909182053346724,0.31706472185732026,0.21398905610386482,1.0,0.545460339477898,0.35035094913243037,0.07767161534959299,0.013436225851747752,0.0654855591599998,0.056654507104225295,0.0,0.18996538930219814,0.1832822330172989,0.18291323295670242,0.15680069860373808
M009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08300710942925431,0.7682396640212725,1.0,0.5353680337749573,0.21748642315586367,0.13078080226843614,0.21360645923815466,0.3118898962981416,0.18186953449601106,1.0,0.34223172193115653,0.24552409571390063,0.07466847582345783,0.43511036020955934,0.04436702020875664,0.12134264977493725,0.0046303010716697785,0.17027789456758968,0.14028670790545772,0.10414321167196998,0.0
M010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19932235202677331,1.0,0.721291887622564,0.4844647431586708,0.2164574989966157,0.13493625733067285,0.20980268224984774,0.30173611548964197,0.17996442802200685,0.9237694716626651,0.3559673641897463,0.3486309467992933,0.16291983385888012,0.15280611962660534,0.13503122361604983,0.11103223267014184,0.03212783392859459,0.1884770311464568,0.26085108974445786,0.17122000712113195,0.0
M011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4299084234776232,0.3513760996391611,0.38768820090149275,0.2529293239801344,0.2618969094362767,0.3361036102833265,0.3123765530410441,0.22537282867599823,1.0,0.39023671276095784,0.3139313976238836,0.1843602653036005,0.18792251423662482,0.06231316673113239,0.10910974306678847,0.0,0.14949174569425996,0.2608991555434936,0.13448944298504314,0.10154008729870564
M012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4053884044734812,0.042351803463279485,0.04246550947598242,0.10398145513316323,0.2192388400345829,0.10340388678566802,1.0,0.2921855450187397,0.24850085136302583,0.0,0.040661680270083614,0.04912145140964468,0.06460787249194576,0.03055752109745571,0.10494739446394155,0.16933967933992336,0.1233025916740209,0.05085040267750481
M013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6596566263211602,0.19755776225653932,0.20610848411975696,0.2179038764408235,0.31307234307069715,0.18157592384351984,1.0,0.42611229305773174,0.28772192810231534,0.04656011703065326,0.05742347371273616,0.029340558559655016,0.03733662269911956,0.0,0.11794385758887704,0.1790030449794918,0.10718388047869609,0.13915177368966614
M014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39854330505945734,0.3674647759723898,0.46657312688392294,1.0,0.4389539222607813,1.0,0.9141071749527875,0.5352103646066798,0.1861381476666098,0.2481975273157636,0.2766956098566154,0.10836607292084566,0.0,0.28381434336239536,0.3500279105129372,0.2972063432776039,0.29617016145139824
M015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7815554094818382,0.6711073075387002,0.9736365808016139,1.0,0.4119191512970743,0.3548787701932412,0.28208806629477245,0.09470490759681237,0.19634706883728928,0.03103465050671495,0.03366575123411729,0.0,0.13106839053613056,0.23184635142563456,0.26530818848734494,0.1119199497476684
M016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8362864701837035,0.6881767307202471,1.0,0.3663981282193277,0.3226833417153735,0.218713772212041,0.12110469154168085,0.11512111358990051,0.012984163014775629,0.0,0.0024020995421294793,0.04014751491128429,0.20890024412490527,0.14123339618688766,0.12048768805015372
M017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.956739418801464,0.45808907948840843,0.3761962764315675,0.2760074381975941,0.11896836352374225,0.18910859322148743,0.02823425595750058,0.04657963247258096,0.0,0.10789734138431431,0.17256523434048263,0.17183930204221926,0.03903874418667678
M018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6415135005606768,0.7839252681853671,0.38432730718886693,0.14108014567414787,0.1620504411777449,0.059419498186652354,0.05356579506621603,0.0,0.20617840992716868,0.2629854297290306,0.22006433448784393,0.1562993681252111
M019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8700280004082062,0.6403853577050093,0.15910025904526118,0.5037315651206067,0.0,0.1940442243772223,0.03442610030268667,0.28529508928293046,0.6032376279685228,0.5087405669353738,0.3301553209109632
M020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6379327142871277,0.13096150315653726,0.15059655652737466,0.10619632417065654,0.04429729084623974,0.0,0.20728710534250538,0.2456976683079691,0.18260592639007986,0.36976283887616046
